"File","Ext","Lines"
".claude\CLAUDE.md",".md","13"
".context\memory\decisions.md",".md","10"
".context\memory\issues.md",".md","8"
".context\memory\progress.md",".md","13"
".context\skills\export_csv.md",".md","5"
".context\specs\design_system_brief.md",".md","7"
".context\README.md",".md","125"
".context\rules.md",".md","18"
".context\soul.md",".md","10"
".vscode\extensions.json",".json","5"
".vscode\settings.json",".json","12"
"components\academy\Academy.tsx",".tsx","325"
"components\academy\ArticleReader.tsx",".tsx","211"
"components\academy\NewsList.tsx",".tsx","235"
"components\academy\VideoCard.tsx",".tsx","120"
"components\academy\VideoCarousel.tsx",".tsx","73"
"components\academy\VideoMaterialsList.tsx",".tsx","147"
"components\academy\VideoPlayer.tsx",".tsx","351"
"components\academy\VideoPlayerModal.tsx",".tsx","408"
"components\admin\analytics\analyticsUtils.tsx",".tsx","47"
"components\admin\analytics\BusinessTab.tsx",".tsx","368"
"components\admin\analytics\ContentTab.tsx",".tsx","317"
"components\admin\analytics\EngagementTab.tsx",".tsx","246"
"components\admin\events\EventAuditDashboard.tsx",".tsx","331"
"components\admin\events\EventForm.tsx",".tsx","545"
"components\admin\events\EventList.tsx",".tsx","611"
"components\admin\events\EventScanner.tsx",".tsx","328"
"components\admin\events\eventSchema.ts",".ts","34"
"components\admin\events\eventSchema.tsx",".tsx","54"
"components\admin\events\EventsModule.tsx",".tsx","104"
"components\admin\events\index.ts",".ts","8"
"components\admin\layout\AdminGlobalSearch.tsx",".tsx","218"
"components\admin\shared\AdminActionButton.tsx",".tsx","50"
"components\admin\shared\AdminConfirmDialog.tsx",".tsx","116"
"components\admin\shared\AdminEmptyState.tsx",".tsx","22"
"components\admin\shared\AdminFileUpload.tsx",".tsx","206"
"components\admin\shared\AdminFormInput.tsx",".tsx","52"
"components\admin\shared\AdminLoadingState.tsx",".tsx","15"
"components\admin\shared\AdminModal.tsx",".tsx","37"
"components\admin\shared\AdminPageHeader.tsx",".tsx","19"
"components\admin\shared\AdminSharedUI.tsx",".tsx","163"
"components\admin\shared\AdminTable.tsx",".tsx","156"
"components\admin\shared\index.ts",".ts","12"
"components\admin\AcademyModule.tsx",".tsx","1017"
"components\admin\AdminArticleEditor.tsx",".tsx","495"
"components\admin\AdminArticleList.tsx",".tsx","343"
"components\admin\AdminBenefitKpiCards.tsx",".tsx","180"
"components\admin\AdminBenefitsApproval.tsx",".tsx","227"
"components\admin\AdminBirthdaysModule.tsx",".tsx","334"
"components\admin\AdminDashboardHome.tsx",".tsx","169"
"components\admin\AdminFilesModule.tsx",".tsx","563"
"components\admin\AdminKpiCards.tsx",".tsx","129"
"components\admin\AdminMemberProgress.tsx",".tsx","898"
"components\admin\AdminNotifications.tsx",".tsx","503"
"components\admin\AdminRoiManager.tsx",".tsx","222"
"components\admin\AdminSolutions.tsx",".tsx","473"
"components\admin\AnalyticsDashboard.tsx",".tsx","82"
"components\admin\AnalyticsExclusions.tsx",".tsx","257"
"components\admin\AppSettingsModule.tsx",".tsx","319"
"components\admin\ArticlesModule.tsx",".tsx","16"
"components\admin\AuditTab.tsx",".tsx","397"
"components\admin\BannersModule.tsx",".tsx","574"
"components\admin\CategoriesModule.tsx",".tsx","57"
"components\admin\ChatModerationDetail.tsx",".tsx","552"
"components\admin\ChatModerationList.tsx",".tsx","221"
"components\admin\ContestedDealsTab.tsx",".tsx","277"
"components\admin\ContestedReferralsTab.tsx",".tsx","216"
"components\admin\EventRsvpManager.tsx",".tsx","114"
"components\admin\EventsModule.tsx",".tsx","888"
"components\admin\GalleryModule.tsx",".tsx","193"
"components\admin\index.ts",".ts","6"
"components\admin\MembersModule.tsx",".tsx","835"
"components\admin\OfficialRankingsTab.tsx",".tsx","231"
"components\admin\TopBenefitsTable.tsx",".tsx","210"
"components\admin\UserActivityDetail.tsx",".tsx","309"
"components\admin\VideoMaterialsUpload.tsx",".tsx","390"
"components\auth\LoginModal.tsx",".tsx","472"
"components\auth\RoleSelector.tsx",".tsx","81"
"components\auth\UpdatePasswordModal.tsx",".tsx","142"
"components\business\CreateReferralModal.tsx",".tsx","458"
"components\business\DealCard.tsx",".tsx","156"
"components\business\index.ts",".ts","14"
"components\business\MyDealsScreen.tsx",".tsx","225"
"components\business\RankingsScreen.tsx",".tsx","518"
"components\business\ReferralCard.tsx",".tsx","620"
"components\business\ReferralsScreen.tsx",".tsx","243"
"components\business\RegisterDealModal.tsx",".tsx","578"
"components\business\ROIDashboardWidget.tsx",".tsx","268"
"components\business\RoiGrowthChart.tsx",".tsx","123"
"components\business\TopRankingPreview.tsx",".tsx","351"
"components\chat\ChatIconWithBadge.tsx",".tsx","37"
"components\chat\ChatWindow.tsx",".tsx","865"
"components\chat\ConversationList.tsx",".tsx","476"
"components\chat\ImageLightbox.tsx",".tsx","64"
"components\chat\MessagesView.tsx",".tsx","211"
"components\chat\NewConversationModal.tsx",".tsx","310"
"components\dashboard\BenefitStatsCard.tsx",".tsx","87"
"components\dashboard\DashboardHome.tsx",".tsx","675"
"components\dashboard\GlobalSearchBar.tsx",".tsx","435"
"components\dashboard\HomeCarousel.tsx",".tsx","239"
"components\dashboard\OnboardingBanner.tsx",".tsx","85"
"components\events\ConfirmedAttendeesSection.tsx",".tsx","61"
"components\events\EventCard.tsx",".tsx","192"
"components\events\EventDetailsModal.tsx",".tsx","706"
"components\events\MobileAgendaView.tsx",".tsx","116"
"components\events\TicketModal.tsx",".tsx","379"
"components\events\YearlyAgendaView.tsx",".tsx","117"
"components\gallery\Gallery.tsx",".tsx","220"
"components\layout\AppHeader.tsx",".tsx","57"
"components\layout\AppLayout.tsx",".tsx","137"
"components\layout\BottomNav.tsx",".tsx","88"
"components\layout\DesktopSidebar.tsx",".tsx","161"
"components\layout\ResponsiveDataView.tsx",".tsx","52"
"components\layout\ViewSwitcher.tsx",".tsx","429"
"components\notifications\AdminNotifications.tsx",".tsx","636"
"components\notifications\NotificationCenter.tsx",".tsx","272"
"components\notifications\NotificationsPage.tsx",".tsx","450"
"components\onboarding\AppTour.tsx",".tsx","225"
"components\onboarding\AppTourSteps.tsx",".tsx","125"
"components\onboarding\OnboardingWizard.tsx",".tsx","837"
"components\profile\ProfileAvatarSection.tsx",".tsx","91"
"components\profile\ProfileBasicFields.tsx",".tsx","123"
"components\profile\ProfileBenefitEditor.tsx",".tsx","218"
"components\profile\ProfilePhotoEditor.tsx",".tsx","276"
